Title,URL handle,Description,Vendor,Product category,Type,Tags,Published on online store,Status,SKU,Barcode,Option1 name,Option1 value,Option2 name,Option2 value,Option3 name,Option3 value,Price,Price / International,Compare-at price,Compare-at price / International,Cost per item,Charge tax,Tax code,Unit price total measure,Unit price total measure unit,Unit price base measure,Unit price base measure unit,Inventory tracker,Inventory quantity,Continue selling when out of stock,Weight value (grams),Weight unit for display,Requires shipping,Fulfillment service,Product image URL,Image position,Image alt text,Variant image URL,Gift card,SEO title,SEO description,Google Shopping / Google product category,Google Shopping / Gender,Google Shopping / Age group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords labels,Google Shopping / Condition,Google Shopping / Custom product,Google Shopping / Custom label 0,Google Shopping / Custom label 1,Google Shopping / Custom label 2,Google Shopping / Custom label 3,Google Shopping / Custom label 4
Essence Another Volume Mascara Just Better - Black,essence-another-volume-mascara-just-better-black,Essence Another Volume Mascara Just Better - Black by Essence. Premium quality mascara product for everyday use. Perfect for all skin types.,Essence,Health & Beauty > Personal Care > Cosmetics > Eye Makeup > Mascara,Mascara,"mascara, essence, beauty, tira",TRUE,active,TIRA-MAS-00011,,Title,Default,,,,,500,,613,,300,TRUE,,,,,,shopify,306,deny,16,g,TRUE,manual,https://cdn.tiraz5.de/v2/super-fire-62c344/tirabz/wrkr/tiraz5/products/pictures/item/free/original/essence/1049105/0/JZ1CZ8UnGo-L3sbd6KypE-1049105_1.jpg,1,Essence Another Volume Mascara Just Better - Black - Essence,,FALSE,Essence Another Volume Mascara Just Better - Black,Shop Essence Another Volume Mascara Just Better - Black by Essence. High-quality mascara at great prices. Free shipping available.,Health & Beauty > Personal Care > Cosmetics > Eye Makeup > Mascara,Unisex,Adult,TIRA-MAS-00011,Mascara,"mascara, beauty, cosmetics",new,FALSE,Essence,Mascara,,,
Bare Body Essentials Moist Me Face Moisturiser,bare-body-essentials-moist-me-face-moisturiser,Bare Body Essentials Moist Me Face Moisturiser by Bare Body Essentials. Premium quality moisturizer product for everyday use. Perfect for all skin types.,Bare Body Essentials,Health & Beauty > Personal Care > Cosmetics > Skin Care > Moisturizers,Moisturizer,"moisturizer, bare-body-essentials, beauty, tira",TRUE,active,TIRA-MOI-00012,,Title,Default,,,,,399,,470,,239,TRUE,,,,,,shopify,182,deny,50,g,TRUE,manual,https://cdn.tiraz5.de/v2/super-fire-62c344/tirabz/wrkr/tiraz0/products/pictures/item/free/original/976800/V-hZbW95jZ-976800_1.jpg,1,Bare Body Essentials Moist Me Face Moisturiser - Bare Body Essentials,,FALSE,Bare Body Essentials Moist Me Face Moisturiser,Shop Bare Body Essentials Moist Me Face Moisturiser by Bare Body Essentials. High-quality moisturizer at great prices. Free shipping available.,Health & Beauty > Personal Care > Cosmetics > Skin Care > Moisturizers,Unisex,Adult,TIRA-MOI-00012,Moisturizer,"moisturizer, beauty, cosmetics",new,FALSE,Bare Body Essentials,Moisturizer,,,
Elizabeth Arden Eight Hour Cream Skin Protectant Nighttime Miracle Moisturizer,elizabeth-arden-eight-hour-cream-skin-protectant-nighttime-miracle-moisturizer,Elizabeth Arden Eight Hour Cream Skin Protectant Nighttime Miracle Moisturizer by Elizabeth Arden. Premium quality moisturizer product for everyday use. Perfect for all skin types.,Elizabeth Arden,Health & Beauty > Personal Care > Cosmetics > Skin Care > Moisturizers,Moisturizer,"moisturizer, elizabeth-arden, beauty, tira",TRUE,active,TIRA-MOI-00013,,Title,Default,,,,,3400,,4155,,2040,TRUE,,,,,,shopify,123,deny,75,g,TRUE,manual,https://cdn.tiraz5.de/v2/super-fire-62c344/tirabz/wrkr/tiraz5/products/pictures/item/free/original/elizabeth-arden/1102879/0/pulf-PvsvE-TGTF8J6PVX-85805529642_1.jpg,1,Elizabeth Arden Eight Hour Cream Skin Protectant Nighttime Miracle Moisturizer - Elizabeth Arden,,FALSE,Elizabeth Arden Eight Hour Cream Skin Protectant Nighttime Miracle ...,Shop Elizabeth Arden Eight Hour Cream Skin Protectant Nighttime Miracle Moisturizer by Elizabeth Arden. High-quality moisturizer at great prices. Free shipping available.,Health & Beauty > Personal Care > Cosmetics > Skin Care > Moisturizers,Unisex,Adult,TIRA-MOI-00013,Moisturizer,"moisturizer, beauty, cosmetics",new,FALSE,Elizabeth Arden,Moisturizer,,,
The Skin Pantry Fragrance Free Face Moisturizer,the-skin-pantry-fragrance-free-face-moisturizer,The Skin Pantry Fragrance Free Face Moisturizer by The Skin Pantry. Premium quality moisturizer product for everyday use. Perfect for all skin types.,The Skin Pantry,Health & Beauty > Personal Care > Cosmetics > Skin Care > Moisturizers,Moisturizer,"moisturizer, the-skin-pantry, beauty, tira",TRUE,active,TIRA-MOI-00014,,Title,Default,,,,,1100,,1304,,660,TRUE,,,,,,shopify,204,deny,60,g,TRUE,manual,https://cdn.tiraz5.de/v2/super-fire-62c344/tirabz/wrkr/tiraz5/products/pictures/item/free/original/the-skin-pantry/1081103/0/QnGyLJ8-MZ-0-IPfgVHbW-8939113806648_1.jpg,1,The Skin Pantry Fragrance Free Face Moisturizer - The Skin Pantry,,FALSE,The Skin Pantry Fragrance Free Face Moisturizer,Shop The Skin Pantry Fragrance Free Face Moisturizer by The Skin Pantry. High-quality moisturizer at great prices. Free shipping available.,Health & Beauty > Personal Care > Cosmetics > Skin Care > Moisturizers,Unisex,Adult,TIRA-MOI-00014,Moisturizer,"moisturizer, beauty, cosmetics",new,FALSE,The Skin Pantry,Moisturizer,,,
The Skin Pantry Hydra Matte Face Moisturizer,the-skin-pantry-hydra-matte-face-moisturizer,The Skin Pantry Hydra Matte Face Moisturizer by The Skin Pantry. Premium quality moisturizer product for everyday use. Perfect for all skin types.,The Skin Pantry,Health & Beauty > Personal Care > Cosmetics > Skin Care > Moisturizers,Moisturizer,"moisturizer, the-skin-pantry, beauty, tira",TRUE,active,TIRA-MOI-00015,,Title,Default,,,,,1100,,1271,,660,TRUE,,,,,,shopify,416,deny,60,g,TRUE,manual,https://cdn.tiraz5.de/v2/super-fire-62c344/tirabz/wrkr/tiraz5/products/pictures/item/free/original/the-skin-pantry/1081106/0/6fttlaHgoo-mRwPmsFun1-8939113807010_1.jpg,1,The Skin Pantry Hydra Matte Face Moisturizer - The Skin Pantry,,FALSE,The Skin Pantry Hydra Matte Face Moisturizer,Shop The Skin Pantry Hydra Matte Face Moisturizer by The Skin Pantry. High-quality moisturizer at great prices. Free shipping available.,Health & Beauty > Personal Care > Cosmetics > Skin Care > Moisturizers,Unisex,Adult,TIRA-MOI-00015,Moisturizer,"moisturizer, beauty, cosmetics",new,FALSE,The Skin Pantry,Moisturizer,,,
The Derma Co Oil-Free Daily Face Moisturizer,the-derma-co-oil-free-daily-face-moisturizer,The Derma Co Oil-Free Daily Face Moisturizer by The Derma Co. Premium quality moisturizer product for everyday use. Perfect for all skin types.,The Derma Co,Health & Beauty > Personal Care > Cosmetics > Skin Care > Moisturizers,Moisturizer,"moisturizer, the-derma-co, beauty, tira",TRUE,active,TIRA-MOI-00016,,Title,Default,,,,,349,,415,,209,TRUE,,,,,,shopify,174,deny,100,g,TRUE,manual,https://cdn.tiraz5.de/v2/super-fire-62c344/tirabz/wrkr/tiraz5/products/pictures/item/free/original/the-derma-co/1107025/0/iEGl6nUJCm-a5KSb2hcR-8906087779292_1.jpg,1,The Derma Co Oil-Free Daily Face Moisturizer - The Derma Co,,FALSE,The Derma Co Oil-Free Daily Face Moisturizer,Shop The Derma Co Oil-Free Daily Face Moisturizer by The Derma Co. High-quality moisturizer at great prices. Free shipping available.,Health & Beauty > Personal Care > Cosmetics > Skin Care > Moisturizers,Unisex,Adult,TIRA-MOI-00016,Moisturizer,"moisturizer, beauty, cosmetics",new,FALSE,The Derma Co,Moisturizer,,,
Votre Multi Purpose Face Serum,votre-multi-purpose-face-serum,Votre Multi Purpose Face Serum by VOTRE. Premium quality face serum product for everyday use. Perfect for all skin types.,VOTRE,Health & Beauty > Personal Care > Cosmetics > Skin Care > Facial Treatments & Serums,Face Serum,"face-serum, votre, beauty, tira",TRUE,active,TIRA-FAC-00017,,Title,Default,,,,,500,,595,,300,TRUE,,,,,,shopify,417,deny,25,g,TRUE,manual,https://cdn.tiraz5.de/v2/super-fire-62c344/tirabz/wrkr/tiraz5/products/pictures/item/free/original/votre/1005189/0/NpRERY7nWR-jX9O9ZLl-2-1005189_2.jpg,1,Votre Multi Purpose Face Serum - VOTRE,,FALSE,Votre Multi Purpose Face Serum,Shop Votre Multi Purpose Face Serum by VOTRE. High-quality face serum at great prices. Free shipping available.,Health & Beauty > Personal Care > Cosmetics > Skin Care > Facial Treatments & Serums,Unisex,Adult,TIRA-FAC-00017,Face Serum,"face serum, beauty, cosmetics",new,FALSE,VOTRE,Face Serum,,,
Rebloom Skin Perfect Face Serum,rebloom-skin-perfect-face-serum,Rebloom Skin Perfect Face Serum by Rebloom. Premium quality face serum product for everyday use. Perfect for all skin types.,Rebloom,Health & Beauty > Personal Care > Cosmetics > Skin Care > Facial Treatments & Serums,Face Serum,"face-serum, rebloom, beauty, tira",TRUE,active,TIRA-FAC-00018,,Title,Default,,,,,500,,602,,300,TRUE,,,,,,shopify,143,deny,50,g,TRUE,manual,https://cdn.tiraz5.de/v2/super-fire-62c344/tirabz/wrkr/tiraz5/products/pictures/item/free/original/985380/iH-K39V_jb-985380_1.jpg,1,Rebloom Skin Perfect Face Serum - Rebloom,,FALSE,Rebloom Skin Perfect Face Serum,Shop Rebloom Skin Perfect Face Serum by Rebloom. High-quality face serum at great prices. Free shipping available.,Health & Beauty > Personal Care > Cosmetics > Skin Care > Facial Treatments & Serums,Unisex,Adult,TIRA-FAC-00018,Face Serum,"face serum, beauty, cosmetics",new,FALSE,Rebloom,Face Serum,,,
St.Botanica Face Serum - 3 Pcs,stbotanica-face-serum-3-pcs,St.Botanica Face Serum - 3 Pcs by St.Botanica. Premium quality face serum product for everyday use. Perfect for all skin types.,St.Botanica,Health & Beauty > Personal Care > Cosmetics > Skin Care > Facial Treatments & Serums,Face Serum,"face-serum, st.botanica, beauty, tira",TRUE,active,TIRA-FAC-00019,,Title,Default,,,,,500,,589,,300,TRUE,,,,,,shopify,137,deny,90,g,TRUE,manual,https://cdn.tiraz5.de/v2/super-fire-62c344/tirabz/wrkr/tiraz5/products/pictures/item/free/original/st-botanica/1007984/0/FmuuYgmTsT-brN54qqE_A-1.png,1,St.Botanica Face Serum - 3 Pcs - St.Botanica,,FALSE,St.Botanica Face Serum - 3 Pcs,Shop St.Botanica Face Serum - 3 Pcs by St.Botanica. High-quality face serum at great prices. Free shipping available.,Health & Beauty > Personal Care > Cosmetics > Skin Care > Facial Treatments & Serums,Unisex,Adult,TIRA-FAC-00019,Face Serum,"face serum, beauty, cosmetics",new,FALSE,St.Botanica,Face Serum,,,
"St.Botanica Vitamin C 15%, E & Hyaluronic Acid Face Serum",stbotanica-vitamin-c-15-e-hyaluronic-acid-face-serum,"St.Botanica Vitamin C 15%, E & Hyaluronic Acid Face Serum by St.Botanica. Premium quality face serum product for everyday use. Perfect for all skin types.",St.Botanica,Health & Beauty > Personal Care > Cosmetics > Skin Care > Facial Treatments & Serums,Face Serum,"face-serum, st.botanica, beauty, tira",TRUE,active,TIRA-FAC-00020,,Title,Default,,,,,1499,,1752,,899,TRUE,,,,,,shopify,199,deny,30,g,TRUE,manual,https://cdn.tiraz5.de/v2/super-fire-62c344/tirabz/wrkr/tiraz5/products/pictures/item/free/original/st-botanica/1007814/0/2H5hFMpD-e-GVIBeMbL6O-1007814_2.jpg,1,"St.Botanica Vitamin C 15%, E & Hyaluronic Acid Face Serum - St.Botanica",,FALSE,"St.Botanica Vitamin C 15%, E & Hyaluronic Acid Face Serum","Shop St.Botanica Vitamin C 15%, E & Hyaluronic Acid Face Serum by St.Botanica. High-quality face serum at great prices. Free shipping available.",Health & Beauty > Personal Care > Cosmetics > Skin Care > Facial Treatments & Serums,Unisex,Adult,TIRA-FAC-00020,Face Serum,"face serum, beauty, cosmetics",new,FALSE,St.Botanica,Face Serum,,,
Fixderma Cosmetic Laboratories C Scape 25 Face Serum,fixderma-cosmetic-laboratories-c-scape-25-face-serum,Fixderma Cosmetic Laboratories C Scape 25 Face Serum by Fixderma Cosmetic Laboratories. Premium quality face serum product for everyday use. Perfect for all skin types.,Fixderma Cosmetic Laboratories,Health & Beauty > Personal Care > Cosmetics > Skin Care > Facial Treatments & Serums,Face Serum,"face-serum, fixderma-cosmetic-laboratories, beauty, tira",TRUE,active,TIRA-FAC-00021,,Title,Default,,,,,500,,599,,300,TRUE,,,,,,shopify,110,deny,30,g,TRUE,manual,https://cdn.tiraz5.de/v2/super-fire-62c344/tirabz/wrkr/tiraz5/products/pictures/item/free/original/928349/7eI_KAXhIT-928349_1.jpg,1,Fixderma Cosmetic Laboratories C Scape 25 Face Serum - Fixderma Cosmetic Laboratories,,FALSE,Fixderma Cosmetic Laboratories C Scape 25 Face Serum,Shop Fixderma Cosmetic Laboratories C Scape 25 Face Serum by Fixderma Cosmetic Laboratories. High-quality face serum at great prices. Free shipping available.,Health & Beauty > Personal Care > Cosmetics > Skin Care > Facial Treatments & Serums,Unisex,Adult,TIRA-FAC-00021,Face Serum,"face serum, beauty, cosmetics",new,FALSE,Fixderma Cosmetic Laboratories,Face Serum,,,
Fragrance & Beyond Ultimate Perfume Gift Set - 4Pcs,fragrance-beyond-ultimate-perfume-gift-set-4pcs,Fragrance & Beyond Ultimate Perfume Gift Set - 4Pcs by Fragrance & Beyond. Premium quality fragrance product for everyday use. Perfect for all skin types.,Fragrance & Beyond,Health & Beauty > Personal Care > Cosmetics > Fragrance,Fragrance,"fragrance, fragrance-&-beyond, beauty, tira",TRUE,active,TIRA-FRA-00022,,Title,Default,,,,,1199,,1491,,719,TRUE,,,,,,shopify,116,deny,200,g,TRUE,manual,https://cdn.tiraz5.de/v2/super-fire-62c344/tirabz/wrkr/tiraz5/products/pictures/item/free/original/fragrance-beyond/1083144/0/2kojpDNm8s-xFWUq4_WBN-769807195684_1.jpg,1,Fragrance & Beyond Ultimate Perfume Gift Set - 4Pcs - Fragrance & Beyond,,FALSE,Fragrance & Beyond Ultimate Perfume Gift Set - 4Pcs,Shop Fragrance & Beyond Ultimate Perfume Gift Set - 4Pcs by Fragrance & Beyond. High-quality fragrance at great prices. Free shipping available.,Health & Beauty > Personal Care > Cosmetics > Fragrance,Unisex,Adult,TIRA-FRA-00022,Fragrance,"fragrance, beauty, cosmetics",new,FALSE,Fragrance & Beyond,Fragrance,,,
A Fragrance Story Earthy Mist Perfume,a-fragrance-story-earthy-mist-perfume,A Fragrance Story Earthy Mist Perfume by A Fragrance Story. Premium quality fragrance product for everyday use. Perfect for all skin types.,A Fragrance Story,Health & Beauty > Personal Care > Cosmetics > Fragrance,Fragrance,"fragrance, a-fragrance-story, beauty, tira",TRUE,active,TIRA-FRA-00023,,Title,Default,,,,,100,,115,,60,TRUE,,,,,,shopify,231,deny,50,g,TRUE,manual,https://cdn.tiraz5.de/v2/super-fire-62c344/tirabz/wrkr/tiraz5/products/pictures/item/free/original/a-fragrance-story/933659/0/c7ZcouK4n2-yHFk-XsiKG-8906095360079_2.jpg,1,A Fragrance Story Earthy Mist Perfume - A Fragrance Story,,FALSE,A Fragrance Story Earthy Mist Perfume,Shop A Fragrance Story Earthy Mist Perfume by A Fragrance Story. High-quality fragrance at great prices. Free shipping available.,Health & Beauty > Personal Care > Cosmetics > Fragrance,Unisex,Adult,TIRA-FRA-00023,Fragrance,"fragrance, beauty, cosmetics",new,FALSE,A Fragrance Story,Fragrance,,,
